celeb_name,desc
Tiger Shroff,"Jai Hemant Shroff (born 2 March 1990), known professionally as Tiger Shroff, is an Indian actor who works in Hindi films. Born to actors Jackie Shroff and Ayesha Dutt, he made his acting debut with the action romance Heropanti (2014), for which he won the IIFA Award for Star Debut of the Year – Male. "
Sidharth Malhotra,"Sidharth Malhotra ([sɪˈd̪ʱːaːrt̪ʰ məlˈɦoːt̪raː]; born 16 January 1985) is an Indian actor who works in Hindi films. He began his career as a fashion model, but left it to pursue acting as an assistant director to Karan Johar in My Name Is Khan (2010). He had his first lead role in Johar's teen film Student of the Year (2012)."
Vicky Kaushal,"Vicky Kaushal (pronounced [ˈʋɪkːi ˈkɔːʃəl]; born 16 May 1988) is an Indian actor who works in Hindi films. He is the recipient of numerous accolades, including a National Film Award and three Filmfare Awards, and has appeared in Forbes India's Celebrity 100 list of 2019."
Kartik Aaryan,"Kartik Aaryan (né Tiwari; born 22 November 1990) is an Indian actor known for his work in Hindi cinema. While pursuing a degree in engineering, he made his acting debut with Luv Ranjan's buddy film Pyaar Ka Punchnama (2011). He went on to star in the romances Akaash Vani (2013) and Kaanchi (2014), but these failed to propel his career forward."
Rajkummar Rao,"Rajkummar Rao (born Raj Kumar Yadav; 31 August 1984) is an Indian actor. A versatile actor in Hindi cinema since the early 2010s, he is known for his performances in over thirty films across a wide spectrum of genres in both independent and commercial cinema. He is the recipient of several accolades including a National Film Award, four Filmfare Awards and an Asia Pacific Screen Award. In 2017, he"
Ayushmann Khurrana,"Ayushmann Khurrana (born Nishant Khurrana; 14 September 1984) is an Indian actor and singer who works in Hindi films. Known for his portrayals of ordinary men often battling social norms, he is the recipient of several awards, including a National Film Award and four Filmfare Awards. He has appeared in Forbes India's Celebrity 100 list of 2013 and 2019, and Time named him one of the 100 most influ"
Sunny Deol,"Ajay Singh Deol (born 19 October 1957), better known as Sunny Deol, is an Indian actor, film director, producer, and politician. One of the highest grossing actors of Indian cinema, he has worked in more than 100 Hindi films in a career spanning over four decades and is particularly known for his angry action hero persona. Deol has won several awards including two National Film Awards and two Film"
Anil Kapoor,"Anil Kapoor (born 24 December 1956) is an Indian actor and producer who works primarily in Hindi films, in addition to Indian television and international films. In a career spanning over 40 years as an actor and since 2005 as a producer, Kapoor has appeared in more than 100 films. He has received several accolades, including two National Film Awards and seven Filmfare Awards."
Nawazuddin Siddiqui,"Nawazuddin Siddiqui ([nəˈwaːzʊdːiːn sɪdːiːqi:]; born 19 May 1974) is an Indian actor known for his work in Hindi cinema. He is the recipient of various accolades, including a National Film Award, an IIFA Award, and two Filmfare Awards, as well as a nomination for an International Emmy. After studying acting at the National School of Drama, Siddiqui had minor roles in films such as Sarfarosh (1999)"
Emraan Hashmi,"Syed Emraan Anwar Hashmi (pronounced [ɪmraːn ˈɦaːʃmi]; born 24 March 1979) is an Indian film actor, who appears in Hindi films. Initially known for performing bold scenes, Hashmi has since portrayed strong roles in films. One of the most unconventional actors of India, Hashmi has received four Filmfare Award nominations."
Pawan Kalyan,"Konidela Pawan Kalyan (born Konidela Kalyan Kumar; 2 September 1971) is an Indian politician, actor, philanthropist, and martial artist serving as the 11th Deputy Chief Minister of Andhra Pradesh since June 2024. He is also the Minister of Panchayat Raj, Rural Development and Rural Water Supply; Environment, Forest, Science and Technology in the Government of Andhra Pradesh and an MLA representing"
Chiranjeevi,"Konidela Chiranjeevi (born Konidela Sivasankara Varaprasad; 22 August 1955) is an Indian actor, philanthropist and former politician known for his work in Telugu cinema. Known as the ""Mega Star"", he is widely regarded as one of the most successful and influential actors in the history of Indian cinema. Chiranjeevi holds the record for the most ""Industry Hits"" in Telugu cinema, with eight films eme"
Mahesh Babu,"Ghattamaneni Mahesh Babu (born 9 August 1975) is an Indian actor who works in Telugu cinema. He is one of the highest-paid actors in Indian cinema and has featured in Forbes India's Celebrity 100 list since 2012. Referred to in the media as ""Superstar"", he has appeared in more than 25 films. He is a recipient of several accolades including, nine Nandi Awards, five Filmfare Telugu Awards, four SIIM"
Allu Arjun,"Allu Arjun (born 8 April 1982) is an Indian actor who works in Telugu cinema. He is one of the highest-paid actors in Indian cinemaand has been featured in Forbes India's Celebrity 100 list since 2014. Allu Arjun's accolades include a National Film Award, six Filmfare Awards, and three Nandi Awards. He is also known for his dancing abilities and is popularly referred to as ""Stylish Star"" and ""Icon"
Prabhas,"Uppalapati Venkata Suryanarayana Prabhas Raju ([pɾabʱaːs]; born 23 October 1979), known mononymously as Prabhas, is an Indian actor who predominantly works in Telugu cinema. One of the highest-paid actors in Indian cinema, Prabhas is one of the most commercially successful Telugu actors of all time and has been featured in Forbes India's Celebrity 100 list since 2015. Referred to in the media as """
Ram Charan,"Konidela Ram Charan (born 27 March 1985) is an Indian actor, film producer, and entrepreneur who primarily works in Telugu cinema. He is one of the highest-paid actors in Indian cinema and is also known for his dancing. He has featured in Forbes India's Celebrity 100 list since 2013. Charan is the recipient of several awards, including four Filmfare Awards and two Nandi Awards. "
Jr NTR,"Nandamuri Taraka Rama Rao Jr. (born 20 May 1983), popularly known as NTR Jr, is an Indian actor, producer, and television presenter who primarily works in Telugu cinema. He is one of the highest-paid actors in Indian cinema and has been featured in Forbes India's Celebrity 100 list since 2012. Referred to in the media as the ""Man of Masses"", he has starred in 30 films. He is a recipient of several"
Nani,Nani may refer to:
Ravi Teja,"Bhupatiraju Ravi Shankar Raju (born 26 January 1968), known professionally as Ravi Teja, is an Indian actor and film producer known for his work in Telugu cinema. Recognised for his roles in action comedy films, he is popularly referred to as ""Mass Maharaja"". Known for his comic timing, he is among the highest-paid actors in Telugu cinema and has received several accolades, including three Nandi A"
Venkatesh,"Venkatesh is a given name and family name from the Indian subcontinent derived from Venkateswara, a Hindu deity. Notable persons with the name include:"
Nagarjuna,"Nāgārjuna (Sanskrit: नागार्जुन, Nāgārjuna; c. 150 – c. 250 CE) was an Indian monk and Mahāyāna Buddhist philosopher of the Madhyamaka (Centrism, Middle Way) school. He is widely considered one of the most important Buddhist philosophers. "
Vijay Deverakonda,"Deverakonda Vijay Sai (born 9 May 1989), professionally known as Vijay Deverakonda, is an Indian actor and film producer who works predominantly in Telugu films. One of the highest-paid actors of Telugu cinema, he has featured in Forbes India's Celebrity 100 list since 2018 and has received several accolades, including a Filmfare Award, a Nandi Award, and three SIIMA Awards."
Nithiin,"Nithin Kumar Reddy (born 30 March 1983), known professionally as Nithiin, is an Indian film actor, distributor and producer who primarily works in Telugu films. Nithiin is a recipient of several accolades including a Filmfare Award and three South Indian International Movie Awards nominations."
Naga Chaitanya,Akkineni Naga Chaitanya (Telugu: [akːineːni naːɡa tʃaitaɲa]; born 23 November 1986) is an Indian actor who works in Telugu cinema. Chaitanya is a recipient of several accolades including one Filmfare Award South and one Nandi Award for his work.
Akhil Akkineni,"Akhil Akkineni (born April 8, 1994) is an Indian actor who debuted as a child artist in the film Sisindri (1994), for which he won a Filmfare Special Award. He is also the captain of Telugu Warriors cricket team that competes in Celebrity Cricket League."
Ram Pothineni,"Ram Pothineni (born 15 May 1988) is an Indian actor who primarily works in Telugu films. Known for his energetic screen presence, he earned one Filmfare Award and one SIIMA Award for his work."
Sai Dharam Tej,"Sai Durgha Tej (born Sai Dharam Tej; 15 October 1986) is an Indian actor who predominantly works in Telugu films. Tej started his acting career with the box office success Pilla Nuvvu Leni Jeevitham (2014), which earned him the SIIMA Award for Best Male Debut – Telugu."
Sree Vishnu,"Sree Vishnu (born Rudraraju Vishnuvardhan; 29 February 1984) is an Indian actor who works in Telugu cinema. After appearing in minor roles, Vishnu got his breakthrough with Prema Ishq Kaadhal (2013). He later starred in supporting roles in films such as Second Hand (2013), Appatlo Okadundevadu (2016), Vunnadhi Okate Zindagi (2017). For the lattermost, he got a SIIMA Award for Best Supporting Actor"
Sudheer Babu,"Posani Naga Sudheer Babu (born 11 May 1980) is an Indian actor and former professional badminton player. He works primarily in Telugu films. Debuted as a lead actor in Shiva Manasulo Shruti (2012), Babu's successful films include Prema Katha Chitram (2013), Baaghi (2016), and Sammohanam (2018). He won SIIMA Special Jury award for his performance in Sammohanam."
Rajinikanth,"Shivaji Rao Gaikwad (born 12 December 1950), known professionally as Rajinikanth, is an Indian actor who predominantly works in Tamil cinema. In a career spanning over five decades, he has done 170 films that includes films in Tamil, Hindi, Telugu, Kannada, Bengali, and Malayalam. He is widely regarded to be one of the most successful and popular actors in the history of Indian cinema. Known for h"
Kamal Haasan,"Parthasarathy Srinivasan (born 7 November 1954), known professionally as Kamal Haasan, is an Indian actor and politician who predominantly works in Tamil cinema. Considered as one of the greatest actors in the history of Indian Cinema, Haasan is also known for introducing many new technologies to Tamil cinema.  Besides Tamil films, he has also appeared in some Malayalam, Telugu, Hindi, Kannada and"
Vijay,Vijay may refer to:
Ajith Kumar,"Ajith Kumar Subramaniam (born 1 May 1971) is an Indian actor who works predominantly in Tamil cinema. To date, he has starred in over 63 films, and won four Vijay Awards, three Cinema Express Awards, three Filmfare Awards South and three Tamil Nadu State Film Awards. In addition to his acting career, Ajith is also an occasional  racing driver and participated in the MRF Racing series (2010) and ha"
Suriya,"Saravanan Sivakumar (born 23 July 1975), known professionally as Suriya, is an Indian actor and film producer who primarily works in Tamil films. One of the highest-paid Tamil actors, Suriya is considered as one of the finest actors of Indian cinema. Suriya has received numerous accolades including two National Film Awards, six Filmfare Awards South and five Tamil Nadu State Film Awards. He has fe"
Dhanush,"Venkatesh Prabhu Kasthuri Raja (born 28 July 1983), known professionally as Dhanush, is an Indian actor, filmmaker, lyricist and playback singer who primarily works in Tamil cinema. Having starred in 50 films over his career, his accolades include four National Film Awards (two as actor and two as producer), fourteen SIIMA Awards, eight Filmfare Awards South and a Filmfare Award. One of the highes"
Vikram,Vikram may refer to:
Sivakarthikeyan,"Sivakarthikeyan Doss (born 17 February 1985), also known by the initialism SK, is an Indian actor, playback singer, lyricist, film producer and television presenter, who works predominantly in Tamil cinema. In 2021, he won the Kalaimamani Award."
Jayam Ravi,"Ravi Mohan (born 10 September 1980), better known by his former stage name Jayam Ravi, is an Indian actor who works in Tamil cinema. The son of veteran film editor A. Mohan, Ravi made his lead acting debut in Jayam (2003), the success of which prompted the title to become a prefix to his stage name until 2025. He has won one Tamil Nadu State Film Award and one Filmfare Award South and three SIIMA "
Yash,Yash may refer to:
Puneeth Rajkumar,"Dr. Puneeth Rajkumar (17 March 1975 – 29 October 2021), affectionately known as Appu (by his fans, after his first lead role in the movie Appu), was an Indian actor, playback singer, film producer, television presenter and philanthropist who worked in Kannada cinema. He was the youngest son of legendary actor and matinee idol Dr. Rajkumar. He was one of the most popular actors in Kannada cinema. H"
Rakshit Shetty,"Rakshit Shetty (born 6 June 1983) is an Indian actor and filmmaker working predominantly in Kannada cinema. He is the recipient of a National Film Award, two Filmfare Awards South, two Karnataka State Film Awards and five SIIMA Awards. His debut film is Namm Areal Ond Dina (2010) but his breakthrough role was in Simple Agi Ondh Love Story. Shetty is regarded as ""Simple Star"" for his filmmaking sty"
Fahadh Faasil,"Abdul Hameed Mohammed Fahad Fazil (born 8 August 1982), professionally known as Fahadh Faasil, is an Indian actor and producer who primarily works in Malayalam films. Noted for his diverse portrayals, Fahadh is among the highest-paid and most popular Malayalam actors. Fahadh is a recipient of several accolades including a National Film Award, four Kerala State Film Awards and four Filmfare Awards "
Dulquer Salmaan,"Dulquer Salmaan (IPA: [d̪ulkʰɐr salmaːn]; born 28 July 1983) is an Indian actor, singer and producer who predominantly works in Malayalam films. One of the highest paid Malayalam actors, Salmaan is a recipient of several awards including five Filmfare Awards South, one Kerala State Film Award, one Kerala Film Critics Association Award and one Gaddar Telangana Film Award."
Mammootty,"Muhammad Kutty Panaparambil Ismail (born 7 September 1951), known mononymously by the hypocorism Mammootty ([mɐmːuːʈːi]), is an Indian actor and film producer who works predominantly in Malayalam-language films. He has also appeared in Tamil, Telugu, Kannada, Hindi, and English-language productions. In a prolific career spanning five decades, he has appeared in more than 400 films, predominantly i"
Tovino Thomas,"Tovino Thomas (born 21 January 1989) is an Indian actor and film producer who predominantly works in Malayalam films. He made his debut in 2012 with the film Prabhuvinte Makkal. His breakthrough roles were in the films ABCD (2013), 7th Day (2014), Ennu Ninte Moideen (2015). He starred as the titular character in the Netflix superhero film Minnal Murali (2021)."
Deepika Padukone,"Deepika Padukone (pronounced [d̪iːpɪkaː pəɖʊkoːɳeː]; born 5 January 1986) is an Indian actress who works predominantly in Hindi films. She is India's highest-paid actress, as of 2023, and her accolades include three Filmfare Awards. Time named her one of the 100 most influential people in the world in 2018 and awarded her the Time100 Impact Award in 2022."
Alia Bhatt,"Alia Bhatt (; born 15 March 1993) is a British actress of Indian descent who predominantly works in Hindi films. Known for her portrayals of women in challenging circumstances, she has received several accolades, including a National Film Award and six Filmfare Awards. She is one of India's highest-paid actresses. Time awarded her with the Time100 Impact Award in 2022 and named her one of the 100 "
Katrina Kaif,"Katrina Rosemary Turcotte (born 16 July 1983), known professionally as Katrina Kaif, is a British actor who works in Hindi-language films. One of the highest-paid actresses in India, she has received numerous accolades, including four Screen Awards and four Zee Cine Awards, alongside three Filmfare nominations. Although critical reception to her acting has varied, she is noted for her roles in act"
Priyanka Chopra,"Priyanka Chopra Jonas (pronounced [pɾɪˈjəŋka ˈtʃoːpɽa]; born 18 July 1982) is an Indian actress and producer. The winner of the Miss World 2000 pageant, Chopra is one of India's highest-paid actresses and has received numerous accolades, including two National Film Awards and five Filmfare Awards. In 2016, the Government of India honoured her with the Padma Shri, and Time named her one of the 100 "
Kareena Kapoor,"Kareena Kapoor Khan (pronounced [kəˈriːna kəˈpuːr xɑːn]; née Kapoor; born 21 September 1980) is an Indian actress. A prolific leading lady of Hindi cinema since 2000, she is noted for her roles in a range of film genres—from romantic comedies to crime dramas. Kapoor is the recipient of several awards, including six Filmfare Awards, and as of 2024, is one of Hindi cinema's highest-paid actresses."
Anushka Sharma,Anushka Sharma (pronounced [əˈnʊʃka ˈʃərma]; born 1 May 1988) is an Indian actress who works in Hindi films. Her awards include a Filmfare Award. She has appeared in Forbes India's Celebrity 100 in the 2010s and was featured by Forbes Asia in their 30 Under 30 list of 2018.
Kiara Advani,"Alia Advani (born 31 July 1991), known professionally as Kiara Advani ([kɪˈjaːra əɽˈʋaːɳi]), is an Indian actress who works in Hindi and Telugu films. Advani is a recipient of several accolades including an IIFA Award and two Zee Cine Awards, alongside nominations for two Filmfare Awards."
Kriti Sanon,"Kriti Sanon (born 27 July 1990) is an Indian actress who primarily works in Hindi films. She has received a National Film Award and two Filmfare Awards, and was featured in Forbes India's Celebrity 100 list of 2019."
Shraddha Kapoor,"Shraddha Kapoor (born 3 March 1987) is an Indian actress who primarily works in Hindi films. One of India's highest-paid actresses, Kapoor has been featured in Forbes India's Celebrity 100 list since 2014 and was featured by Forbes Asia in their 30 Under 30 list of 2016."
Taapsee Pannu,"Tapasee Pannu (born 1 August 1987), professionally known as Taapsee Pannu, is an Indian actress who works in Hindi, Telugu and Tamil films. Pannu is the recipient of two Filmfare Awards and a Filmfare OTT Award. "
Radhika Apte,Radhika Apte (Marathi pronunciation: [ɾaːd̪ʰikaː əpʈe]) (born 7 September 1985) is an Indian film and television 
Disha Patani,"Disha Patani (pronounced [ˈd̪ɪʃa paːʈəˈni]; born 13 June 1992) is an Indian actress primarily working in Hindi films. Patani made her acting debut with the Telugu film Loafer (2015), and had her first Hindi film release with the biopic M.S. Dhoni: The Untold Story (2016). After appearing in the Chinese action comedy Kung Fu Yoga (2017), Patani featured in the films Baaghi 2 (2018), Bharat (2019), "
Janhvi Kapoor,"Janhvi Kapoor (born 6 March 1997) is an Indian actress who works in Hindi and Telugu films. Born to film actress Sridevi and producer Boney Kapoor, she made her acting debut in 2018 with the romantic drama Dhadak, which was a commercial success. "
Sara Ali Khan,"Sara Ali Khan Pataudi (pronounced [saːɾa əˈli xaːn]; born 12 August 1995) is an Indian actress who works in Hindi films. Born into the Pataudi family, she is the daughter of actors Amrita Singh and Saif Ali Khan. Khan is a recipient of a Filmfare Award and appeared in Forbes India's Celebrity 100 list of 2019. "
Madhuri Dixit,"Madhuri Dixit Nene (née Dixit, pronounced [d̪iːkʂɪt̪]; born 15 May 1967) is an Indian actress and television personality. She has appeared in over 70 Hindi films, attaining nationwide stardom that influenced Indian popular culture. Noted by critics for her beauty, dancing skills, and characters, Dixit was credited for singularly paralleling her male contemporaries by leading star vehicles in a mal"
Bhumi Pednekar,"Bhumi Pednekar (Hindi pronunciation: [bʱuːmɪ peːɖneːkər] born 18 July 1989) is an Indian actress who works in Hindi films. Known for her portrayals of headstrong small-town women, she is the recipient of several awards, including three Filmfare Awards."
Parineeti Chopra,"Parineeti Chopra (pronounced [pəriːniːt̪iː ˈtʃoːpɽaː]; born 22 October 1988) is an Indian actress who primarily works in Hindi films. Chopra is a recipient of several accolades, including a Filmfare and a National Film Award. Chopra has appeared in Forbes India's Celebrity 100 list since 2013."
Yami Gautam,"Yami Gautam Dhar (née Gautam; born 28 November 1988) is an Indian actress who works in Hindi films. A daughter of film director Mukesh Gautam, she began her career as a model, and starred in television soap operas such as Chand Ke Paar Chalo (2008–2009) and Yeh Pyar Na Hoga Kam (2009–2010). After making her film debut in the Kannada film Ullasa Utsaha (2010), she had her first Hindi film release i"
Huma Qureshi,Huma Saleem Qureshi (pronounced [ˈɦʊmaː səˈliːm qʊˈɾɛːʃiː]; born 28 July 1986) is an Indian actress who primarily appears in Hindi-language films. Her accolades include a Filmfare OTT Award along with nominations for three Filmfare Awards. 
Sai Pallavi,"Sai Pallavi Senthamarai Kannan (pronounced [saɪ paˈləvi]; born 9 May 1992) is an Indian actress who primarily works Telugu and Tamil films. Known for her portrayals of strong and challenged women, she has received numerous accolades, including six Filmfare Awards South and two SIIMA Awards. One of South India's highest-paid actresses, she was featured by Forbes magazine as one of India's 30 Under "
Samantha Ruth Prabhu,"Samantha Ruth Prabhu (born 28 April 1987) is an Indian actress who works predominantly in Telugu and Tamil films. One of South India's highest-paid actresses, Samantha is the recipient of several accolades, including four Filmfare Awards South, two Nandi Awards and a Tamil Nadu State Film Award."
Rashmika Mandanna,"Rashmika Mandanna (/ɾɐɕmɪkɑ mɐn̪d̪ɑn̪ːɑ/ born 5 April 1996) is an Indian actress who primaily works in Telugu and Hindi films. Her accolades include four SIIMA Awards and a Filmfare Award South. One of South India's highest-paid actresses, she was featured in Forbes India's 2024 list of ""30 Under 30""."
Keerthy Suresh,"Keerthy Suresh (born 17 October 1992) is an Indian actress who appears predominantly in  Tamil and Telugu films. Her accolades include one National Film Award, five SIIMA Awards and two Filmfare Awards South. Keerthy was placed in Forbes India's 30 Under 30 list of 2021. "
Pooja Hegde,"Pooja Hegde ( born 13 October 1990) is an Indian actress who primarily works in Telugu, Hindi and Tamil films. One of the highest-paid actresses of South Indian cinema, Hegde is a recipient of four SIIMA Awards along with three Filmfare Awards South nominations."
Tamannaah Bhatia,"Tamanna Bhatia (born 21 December 1989), known professionally as Tamannaah Bhatia, is an Indian actress who predominantly works in Telugu, Tamil and Hindi films. Having appeared in 88 films, she has received several awards, including two Santosham Film Awards, two SIIMA Awards and the Kalaimamani Award. She is considered as one of the highest-paid actresses in South Indian cinema."
Anushka Shetty,"Sweety Shetty (born 7 November 1981), known by her stage name Anushka Shetty, is an Indian actress known for her work majorly in Telugu and Tamil cinema.  She is the recipient of three Filmfare Awards South, two Nandi Awards, two SIIMA Awards and one Tamil Nadu State Film Award. Having appeared over 50 films in a variety of roles, she is one of the highest-paid South Indian actresses. She was hono"
Kajal Aggarwal,"Kajal A Kitchlu (née Aggarwal; born 19 June 1985), known professionally as Kajal Aggarwal, is an Indian actress who predominantly works in Telugu, Tamil and Hindi films. Aggarwal is considered as one of the highest paid actresses of South Indian cinema. She is a recipient of three SIIMA Awards along with four Filmfare Awards South nominations. "
Nivetha Thomas,"Nivetha Thomas (born 2 November 1994) is an Indian actress who appears in Telugu, Malayalam and Tamil language films. She made her film debut as a child artist in the 2008 Malayalam film Veruthe Oru Bharya, for which she won the Kerala State Film Award for Best Child Artist."
Raashi Khanna,"Raashii Khanna (born 30 November 1990) is an Indian actress who works predominantly in Telugu and Tamil films. She made her acting debut in a supporting role with the Hindi film Madras Cafe (2013) and subsequently appeared in Telugu film Oohalu Gusagusalade (2014), which won her the SIIMA Award for Best Female Debut – Telugu."
Lavanya Tripathi,"Lavanya Tripathi Konidela (née Tripathi; born 15 December 1990) is an Indian actress who primarily works in Telugu cinema, and some Tamil films. Tripathi is a recipient of several accolades including nominations for two SIIMA Awards and one Filmfare Awards South."
Eesha Rebba,"Eesha Rebba (born 19 April 1990) is an Indian actress who predominantly works in Telugu films. She is known for her roles in Anthaka Mundu Aa Tarvatha (2013), Bandipotu (2015), Ami Thumi (2017) and Awe (2018)."
Hebah Patel,"Hebah Patel (born 6 January 1988) is an Indian actress who predominantly appears in Telugu films. After working as a model, Patel made her acting debut in 2014, with the Kannada film Adyaksha and then made her Tamil film debut Thirumanam Enum Nikkah both (2014)."
Mehreen Pirzada,"Mehreen Kaur Pirzada (born 5 November 1995) is an Indian actress and model who predominantly appears in Telugu, Tamil, Hindi and Punjabi films. Pirzada made her acting debut in 2016 with the Telugu film Krishna Gaadi Veera Prema Gaadha. She made her Hindi debut with Phillauri and Tamil debut with Nenjil Thunivirundhal both in 2017."
Ritu Varma,"Ritu Varma (born 10 March 1990) is an Indian actress who works in Telugu and Tamil films. After appearing in short films and supporting roles, Varma played the lead role in the Telugu film Pelli Choopulu (2016), for which she received the Nandi Award for Best Actress and the Filmfare Critics Award for Best Actress – Telugu. She has appeared in several commercially successful films such as Yevade S"
Nabha Natesh,"Nabha Natesh (pronounced [nəbha nət̪ɛʃ]; born 11 December 1995) is an Indian actress and model who primarily appears in Telugu films. She made her debut with Kannada film Vajrakaya (2015) and later in Telugu with Nannu Dochukunduvate (2018). She had her breakthrough with iSmart Shankar in 2019 due to which she is popularly referred as ""Ismart Beauty"" in the media."
Krithi Shetty,Krithi Shetty (born 21 September 2003) is an Indian actress who primarily works in Telugu and Tamil films. Shetty is an recipient of a Filmfare Award South and a SIIMA Award. She made her acting debut in the Telugu film Uppena (2021) which won her the Filmfare Award for Best Female Debut – South.
Anupama Parameswaran,"Anupama Parameswaran (born 18 February 1996) is an Indian actress who primarily works in Telugu, Malayalam and Tamil films. Anupama made her debut with the successful Malayalam film Premam (2015) and is known for her work in Kodi (2016), Jomonte Suvisheshangal (2017), Vunnadhi Okate Zindagi (2017), Natasaarvabhowma (2019), Karthikeya 2 (2022), Tillu Square (2024) and Dragon (2025)."
Shriya Saran,"Shriya Saran Bhatnagar (pronounced [ʃrɪja səɾən] born 11 September 1982) is an Indian actress who primarily works in Telugu, Tamil and Hindi films. Although Saran aspired to become a dancer, she became an actress and made her film debut with the Telugu film Ishtam (2001). She had her first commercial success with Santosham (2002)."
Nayanthara,"Nayanthara (born Diana Mariam Kurian; 18 November 1984) is an Indian actress and producer known for her work in Tamil, Telugu and Malayalam films. One of the highest-paid actresses in India, she was the only South Indian actress to be featured in Forbes India ""Celebrity 100"" list in 2018. With a career spanning over two decades, she has appeared in more than 75 films and has received numerous awar"
Trisha Krishnan,"Trisha Krishnan (born 4 May 1983) is an Indian actress known for her work primarily in Tamil and Telugu cinema. One of the highest-paid actresses in India, she has sustained a successful career as a leading actress for over two decades in Tamil cinema. Trisha gained prominence after winning the 1999 Miss Chennai pageant, which marked her entry into cinema. Often referred to as the ""Queen of South "
Aishwarya Rajesh,"Aishwarya Rajesh (born 10 January 1990) is an Indian actress who works predominantly in Tamil, Telugu and Malayalam films. Aishwarya is a recipient of several awards including two Filmfare Award South, one Tamil Nadu State Film Award and four SIIMA Awards."
Amala Paul,"Amala Paul (born 26 October 1991) is an Indian actress and producer who is primarily working in Tamil and Malayalam films, in addition to some Telugu and Hindi films. She is a recipient of a Tamil Nadu State Film Award, a Filmfare Award South and two South Indian International Movie Awards."
Malavika Mohanan,"Malavika Mohanan (born 4 August 1993) is an Indian actress who works predominantly in Tamil and Malayalam films. The daughter of cinematographer K. U. Mohanan, she made her acting debut in the Malayalam film Pattam Pole (2013). She gained praise for her starring role in Majid Majidi's Hindi film Beyond the Clouds (2017). She has since played the leading lady in the Malayalam thriller film The Grea"
Manju Warrier,"Manju Warrier (ʋaːɾjər; born 10 September 1978/1979) is an Indian actress, who works predominantly in Malayalam cinema. She is the recipient of a National Film Award, a Kerala State Film Award and seven Filmfare Awards South."
